Pto. El Espinillo	埃尔埃斯皮尼约村
Mina Jovita	霍维塔矿
R. Umango	乌曼戈河
Co. Cacho	卡乔山
Mina La Aspereza	拉阿斯佩雷萨矿
Co. La Aspereza	拉阿斯佩雷萨山
Pto. Umango	乌曼戈村
Pto. Las Pircas	拉斯皮尔卡斯村
Co. Umango	乌曼戈山
Barreal Grande	大巴雷阿尔
Barreal Chico	小巴雷阿尔
A. La Aspereza	拉阿斯佩雷萨溪
Co. Puntillas	蓬蒂亚斯山
Mina La Jarilla	拉哈里亚矿
Mina Santa MaríaⅡ	圣玛利亚二号矿
Pto. Corral de Martínez	科拉尔-德马尔蒂内斯村
Co. Cordobés	科尔多韦斯山
Q. Húmeda	乌梅达溪
Pto. Pintado	平塔多村
Q. del Yeso	耶索溪
Pto. Vallecito	巴耶西托村
Mina Helios	埃利奥斯矿
Filo del Espinal	埃斯皮纳尔山脊
Mina El Conde	埃尔孔德矿
Cos. Asperecito	阿斯佩雷西托山
Co. Ventanita	本塔尼塔山
El Condado	埃尔孔达多村
Parecitas	帕雷西塔斯村
Mo. La Zorra	拉索拉山
Mo. Negro	内格罗山
Rivadavia	里瓦达维亚镇
Los Portezuelos	洛斯-波尔特苏埃洛斯
Villa Castelli	卡斯特伊市
Filo del Aspero	阿斯佩罗山脊
Los Médanos	洛斯梅达诺斯
Pto. Potrero Viejo	旧波特雷罗村
Q. Potrero Viejo	旧波特雷罗溪
Co. Zapallo	萨帕约山
R. Punta Blanca	蓬塔布兰卡河
R. Bermejo o Vinchina	贝尔梅霍河（宾奇纳河）
Valle de Vinchina	宾奇纳山谷
Campo de los Loros	洛罗斯平原
Mina La Puntilla	蓬蒂亚矿
Est. Meteorológica	气象站
R. El Tolar	埃尔托拉尔河
Cos. La Gloria	拉格洛里亚山
R. Las Otias	拉斯奥蒂亚斯河
R. Primera Ciénaga o Colorado	普里梅拉谢纳加河（科洛拉多河）
Barreales de los Sapitos	巴雷阿莱斯-德洛斯萨皮托斯
Llanos de la Majadita	马哈迪塔平原
Las Peñitas	拉斯佩尼塔斯
Puerta del Infierno	普埃尔塔-德尔因菲耶尔诺
Cos. del Vachiyuya	巴奇尤亚山
Co. Chaparro	查帕罗山
Q. Aguadita	阿瓜迪塔溪
Cos. del Cahiyuyal	卡伊尤亚尔山
Vegas del Tabaquito	塔瓦基托河滩
Q. del Toito	托伊托溪
Bañado Barreales	巴雷阿莱斯峡谷
Vega de la Mula	穆拉河滩
Co. Alto del Descubrimiento	阿尔托-德尔德斯库夫里缅托山
Co. El Salto	埃尔萨尔托山
Co. Quebradas de las Varas	克夫拉达斯-德拉斯巴拉斯山
Pto. Tambillos	坦比约斯村
Mina Anfora	安福拉矿
Co. de la Mesada	梅萨达山
Vega Quichicha o Quichua	基奇查河滩（基丘阿河滩）
A. Cebada	塞瓦达溪
Mina Antulio	安图利奥矿
Q. La Mesada	梅萨达溪
R. La Poza	拉波萨河
A. Pichanal	皮查纳尔溪
Pampa de la Mesada	梅萨达草原
Los Hornos	洛斯奥尔诺斯
Co. Los Pozos	洛斯波索斯山
Q. La Totora	拉托托拉溪
Pto. Totora	托托拉村
Q. Alvalao o El Quemado	阿尔瓦劳溪（埃尔克马多溪）
Q. Los Saltos	洛斯萨尔托斯溪
Campo San Antonio	圣安东尼奥平原
Co. San Antonio	圣安东尼奥山
Q. Silvestre	锡尔韦特雷溪
Ea. de Maz	马斯庄园
Co. Víbora	比沃拉山
Q. del Potrerito o Potrerillo	波特雷里托溪（波特雷里约溪）
Lomas Blancas	布兰卡斯山脊
Dique La Torna	拉托尔纳坝
Pto. Portillos	波尔蒂约斯村
Pto. Escondida	埃斯孔迪达村
Anchumbil	安春比尔
El Zaino	埃尔赛诺
R. de las Cañas o Anchumbil	卡尼亚斯河（安春比尔河）
Pto. Los Viscos	洛斯比斯科斯村
Mina San Sebastián	圣塞瓦斯蒂安矿
Mina El Chuschín	埃尔丘斯钦矿
Mina Delina	德利纳矿
El Paraguay	埃尔帕拉瓜伊村
Q. de Narvaez	纳尔瓦伊斯溪
Ruinas de Batungasta	巴通加斯塔遗址
Carrizalillo	卡里萨利约
Corral de Barranca	科拉尔德巴兰卡
R. Abaucán	阿沃坎河
Los Morteros	洛斯莫尔特罗斯村
Co. Morteros	洛斯莫尔特罗斯山
Sierra de Fiambalá	菲安巴拉山脉
Anillaco	阿尼亚科镇
La Alanbrera	拉阿兰布雷拉
Q. de la Galena	加莱纳溪
Mina La Argentina	阿根廷矿
La Mosca	拉莫斯卡
Mina Vilachai	比拉柴矿
R. Zapata o Las Lajas	萨帕塔河（拉斯拉哈斯河）
El Bolsón	埃尔博尔松
Sierra de Zapata	萨帕塔山脉
R. de Rodríguez	罗德里格斯河
Las Higueritas	拉斯伊格里塔斯村
Tinogasta	蒂诺加斯塔市
Ap. Peñas Blancas	佩尼亚斯-布兰卡斯
Sierra de Copacabana	科帕卡瓦纳山脉
R. de la Costa	科斯塔河
Area Aluvial La Cienaguita	沼洪区
Co. El Tantana	埃尔坦塔纳山
Frazada Quemada	弗拉萨达克马达
Q. La Sepultura	拉塞普尔图拉溪
Río Colorado	里奥科洛拉多
El Peñón	埃尔佩尼翁
Costa de Reyes	科斯塔德雷耶斯村
Mo. de la Cienaguita	谢纳吉塔山
Port. del Guaicho	瓜伊乔河口
Port. del Calvario	卡尔瓦里奥河口
Mo. de la Cañada	卡尼亚达山
Rincón Grande	大林孔
Médano Largo	梅达诺拉尔戈
Campo de Arana	阿拉纳平原
Copacabana	科帕卡瓦纳镇
Est. Copacabana	科帕卡瓦纳车站
R. Andaluca	安达卢卡河
Campo de Andaluca	安达卢卡平原
Río Colorado	里奥科洛拉多村
Sierra de Vinquis	宾基斯山脉
Co. de los Bamblones	班布洛内斯山
Pto. Agua del Medio	阿瓜德尔梅迪奥村
Port. del Rodeo	罗德奥河口
Pto. Chungango	春甘戈村
Port. Ovejeros	奥韦赫罗斯河口
Port. de la Quebrada Seca	塞卡溪口
R. de la Calera	卡莱拉河
El Pueblito	埃尔普埃夫利托镇
Cerro Negro	赛罗内格罗村
Cordobita	科尔多维塔村
El Salado	埃尔萨拉多镇
Est. Cerro Negro	赛罗内格罗车站
R. de la Aguadita	阿瓜迪塔河
Ea. La Ramada	拉拉马达庄园
Mina San Antonio	圣安东尼奥矿
Pto. La Totora	拉托托拉村
Pto. La Chilca	拉奇尔卡村
Co. de las Animas	阿尼马斯山
R. La Chilca	拉奇尔卡河
R. La Totora	拉托托拉河
R. El Tambillo	埃尔坦比约河
Pto. Moreno	莫雷诺村
R. Infiernillo	因菲耶尼约河
El Cajón	埃尔卡洪
Campo de Belén	贝伦平原
Pto. El Pozo	埃尔波索村
Siete Bordos	谢特波尔多斯
R. Siete Bordos	谢特波尔多斯河
R. del Pozo	波索河
R. Totoral (R. Londres)	托托拉尔河（伦敦河）
R. Torres	托雷斯河
Pto. San  Gerónimo	圣赫罗尼莫村
R. Salado o Colorado	萨拉多河（科洛拉多河）
R. Salado o Viejo	萨拉多河（别霍河）
La Tusca	拉图斯卡村
Pto. Simbritas	辛布里塔斯村
Pto. El Colbao	埃尔科尔沃村
Pto. Cachipampa	卡奇潘帕村
Bañado del Pamtano	巴尼亚多-德尔潘塔诺镇
La Zanja	拉桑哈
Dique Tuscamayo	图斯卡马约坝
Q. Flango	弗兰戈溪
Pto. Las Mesillas	拉斯梅西亚斯村
Aimogasta	艾莫加斯塔市
Machigasta	马奇加斯塔镇
Arauco	阿劳科镇
Q. Asha	阿萨溪
R. Asha	阿萨河
Bordo de Aruco	博尔多德阿鲁科村
Villa Mervil	比亚梅尔维尔村
Upinango	乌皮南戈村
Bolsón de Arauco	博尔松德阿劳科
R. de Las Juntas	拉斯洪塔斯河
Sierra de Mazán	马桑山脉
Barreal de la Puerta de Arauco	普埃尔塔-德阿劳科沼泽
Señor de la Peña	佩尼亚先生村
Pto. Tembleque	滕布莱克村
Alpasinche	阿尔帕辛切镇
Est. 959	959车站
Chaupihuasi	乔皮瓦西镇
Salicas	萨利卡斯镇
R. de los Sauces	绍塞斯河
Los Robles	洛斯罗夫莱斯镇
San Blas	圣布拉斯市
Arauquito	阿劳基托村
Las Talas	拉斯塔拉斯镇
Cuipán	奎潘镇
Schaqui	斯查基镇
Pampa de Toruma	托鲁马草原
R. del Pichanal	皮查纳尔河
R. Santa Cruz	圣克鲁斯河
R. de las Campanás	坎帕纳斯河
R. Pituil	皮图伊河
Lomas de los Bañados	巴尼亚多斯山脊
La Punta	拉蓬塔
Q. de Yacunto	亚昆托溪
Q. de Talacasto	塔拉卡斯托溪
Andolucas	安多卢卡斯镇
Suriyaco	苏里亚科镇
Tuyubil	图尤维尔镇
Amuschina	阿穆斯奇纳镇
Planta Potabilizadora	普兰塔-波塔维利萨多拉村
R. Anguil	安圭尔河
R. Tuyubil	图尤维尔河
A. Viñigiado	比尼希亚多溪
Mo. El Sandial	埃尔桑迪亚尔山
Pto. Río Grande	里奥格兰德村
Co. El Aspero	埃尔阿斯佩罗山
R. Calavera	卡拉韦拉河
Pto. Ischico	伊斯奇科村
Pto. Viñigiado	比尼希亚多村
La Pampa	拉潘帕草原
Mo. de las Piedras Bolas	彼德拉斯博拉斯山
Port. del Inca	因卡山口
R. de la Puerta	普埃尔塔河
Los Cazadores	卡萨多雷斯村
La Represa	拉雷普雷萨
La Cuadra	拉夸德拉镇
Co. La Velluda	拉贝尤达山
Mo. de Santa Rita	圣丽塔山
R. de las Ballenas	巴耶纳斯河
Finca Los Garos	芬卡洛斯加罗斯村
Finca La Aguadita	芬卡拉阿瓜迪塔村
Mo. de las Vacas	拉斯巴卡斯山
El Potrerillo	埃尔波特雷里约村
R. de las Playas	普拉亚斯河
Sierra de Famatina	法马蒂纳山脉
Co. Alto de las Quinas	阿尔托-德拉斯基纳斯山
R. Manzanito	曼萨尼托河
Cumbres Chaschuil	查斯崔尔山峰
Famalillao	法马利尧村
Campanas	坎帕纳斯镇
R. de los Talas	塔拉斯河
Chañarmuyo	查尼亚尔穆约镇
Finca Ischiniago	芬卡-伊斯奇尼亚戈村
Co. de los Loros	洛罗斯山
Filos de los Loros	洛罗斯山脊
R. Chaschuil	查斯崔尔河
Co. Alto de Arnoga	阿尔托-德阿尔诺加山
El Quemado	埃尔克马多
Angulos	安古洛斯镇
Cadena de Paimán	派曼山
Q. Quista	基斯塔溪
Q. de las Papas	帕帕斯溪
Pampita de Paimán	派曼草原
R. Paimán	派曼河
Port. Aguadita	阿瓜迪塔山口
Corral Colorado	科拉尔科洛拉多村
Las Tres Juntas	拉斯特雷斯洪塔斯
Mgtes. Río Blanco	里奥布兰科山
A. Cachiyuyo	卡奇尤约溪
Co. El Morado	埃尔莫拉多山
Co. El Pelado	埃尔佩拉多山
Co. Laguna	拉古纳山
Q. del Tocino	托西诺溪
Tres Piedras	特雷斯彼德拉斯
Co. del Inca	印加山
R. Achavil	阿查维尔河
R. Volcancito	博尔坎西托河
R. Maladero	马拉德罗河
Collapotrero	科亚波特雷罗
Filo Arenales	阿雷纳莱斯山脊
Co. La Cunchi	拉昆奇山
Co. Nuñorco	努尼奥尔科山
Mina Montey	蒙泰矿
Co. El Overo	埃尔奥韦罗山
Co. Aspajos	阿斯帕霍斯山
Las Trancas	拉斯特兰卡斯
Plaza Vieja	旧普拉萨镇
Cuevas de Norona	库埃瓦斯-德诺罗纳村
Finca El Totoral	芬卡-埃尔-托托拉尔村
Famatina	法马蒂纳市
Barrio San Vicente	巴里奥圣维森特村
Alto Ciénaga	阿尔托谢纳加
Bajo Carrizal	上卡里萨尔镇
Alto Carrizal	下卡里萨尔镇
Area Aluvial	阿雷阿-阿卢维亚尔村
Corrales	科拉莱斯村
R. Amarrillo	阿马里约河
Chilitanca	奇利坦卡
Filo de Cimarrón	锡马龙山脊
Co. de la Cueva de Pérez	库埃瓦德佩雷斯山
Nevados de Famatina	法马蒂纳雪山
R. Agua Negra	阿瓜內格拉河
Pituil	皮图伊尔镇
Co. de la Punta	蓬塔山
R. Mayuyana	马尤亚纳河
Port. Chilca	奇尔卡山口
Uyuvil	乌尤维尔村
Valle de Antinaco	安蒂纳科山谷
Q. Yaco	亚科溪
Pto. La Chacorea	拉查科雷阿村
Asaguango	阿萨关戈村
Port. Mal Paso	马尔帕索河口
R. Capayán	卡帕扬河
Rincón del Tigre	蒂格雷角
Co. Alto Blanco	阿尔托布兰科山
R. Incargua	因卡尔瓜河
R. Alto Blanco	阿尔托布兰科河
R. Oro o Amarillo	奥罗河（阿马里约河）
Mina Los Bayos	洛斯巴约斯矿
Mina Geotgette	赫奥特赫特矿
Mina Alberto	阿尔韦尔托矿
El Vallecito	埃尔巴耶西托村
Santa Florentina	圣夫洛伦蒂纳镇
Co. Morado de las Trampas	莫拉多-德拉斯特兰帕斯山
Pto. El Carrizo	埃尔卡里索村
Mina La Chilca	拉奇尔卡矿
Mina Lucianela	卢西亚内拉矿
El Pozo	埃尔波索村
Loma del Pozo	波索山脊
Pto. Saladillo	萨拉迪约村
Finca La Punta	芬卡拉蓬塔村
Los Manzanos	洛斯曼萨诺斯村
Guanchin	关钦镇
El Pique	埃尔皮克村
Cuesta de Guanchín	关钦山谷
Bordo de Guanchín	波尔多德关钦
Q. El Chanar	埃尔查纳尔溪
Co. Cumbre Agua Negra	阿瓜內格拉山
Mina Vicenta	比森塔矿
Q. Grande o Puquitay	格兰德溪（普基泰溪）
San Nicolás	圣尼古拉斯镇
Chilelcito	奇莱尔西托市
Malligasta	马伊加斯塔镇
Anguinán	安吉南镇
Aeród. Anguinán	安吉南机场
Colonia Anguinán	安吉南移民村
Bodega	博德加村
Nonogasta	诺诺加斯塔镇
R. Los Sarmientos	洛斯萨尔缅托斯河
Colonia Tilimuqui	蒂利穆基移民村
Cañada Quemada	克马达峡谷
Q. La Horoqueta	拉奥罗克塔溪
Q. Ciénaga de las Cruces	谢纳加-德拉斯克鲁塞斯溪
Co. El Melao	埃尔梅劳山
Lomo Horno	奥尔诺山脊
Mgte. de la Minita	米尼塔山峰
El Cerro	埃尔塞罗村
Co. La Rosita	拉罗西塔山
Co. Las Ventanas	拉斯本塔纳斯山
Co. Las Peñas	拉斯佩尼亚斯山
R. Tambito	坦维托河
R. de la Higuerita	伊格里塔河
Cuesta de Huaco	瓦科山谷
Pampa Los Altos	洛斯阿尔托斯草原
Co. Casa de Piedra	卡萨德彼德拉山
Q. Vacochispan o Bacupán	巴科奇斯潘溪（巴库潘溪）
Pampa de Huaco	瓦科草原
Q. Horcollocán o del Huaco	奥尔科约坎溪（瓦科溪）
Villa Sanagasta	比亚萨纳加斯塔市
Los Cajones	洛斯卡霍内斯
Dique Los Indios	洛斯因迪奥斯大坝
R. de Angulo	安古洛河
Co. Mesa de Negras	梅萨德內格拉斯山
Anjullón	安胡永镇
Los Molinos	洛斯莫利诺斯镇
Q. Los Molinos	洛斯莫利诺斯溪
Q. de Anillaco	阿尼亚科溪
Pto. El Nieto	埃尔涅托村
R. La Punta	拉蓬塔河
Aminga	阿明加市
Pto. El Quemado	伊鲁乔村
Cbre. Irucho	伊鲁乔山峰
Chuquis	丘奇斯镇
Q. de Pinchas	平查斯溪
Pinchas	平查斯镇
Q. Río Laconte	里奥拉孔特溪
Q. El Cajón del Mojón	埃尔卡洪-德尔莫洪溪
Campo del Potrero	波特雷罗平原
Pampa Grande	格兰德草原
Rincón de la Pampa Grande	格兰德草原角
Port. El Portezuelo	埃尔-波尔特苏埃洛河口
Ismiango	伊斯缅戈村
Los Pozuelos	洛斯波苏埃洛斯
Pto. Carrizal de Arriba	卡里萨尔-德阿里瓦村
Ea. Amilgancho	阿米尔甘乔庄园
Mina San Carlos	圣卡洛斯矿
El Cantadero	埃尔坎塔德罗村
R. de la Lancha	兰查河
El Duraznillo	埃尔杜拉斯尼约村
Las Higuerillas	拉斯伊格里亚斯村
Juan Caro	胡安卡罗矿
Pto. La Zanja Escondida	拉-桑哈-埃斯孔迪达村
Pto. Los Britos	洛斯布里托斯村
El Abra	埃尔阿夫拉
Pto. del Río Blanco	里奥布兰科村
Campo de Huañomil	瓦尼奥米尔平原
La Aguada del Moreno	拉阿瓜达-德尔莫雷诺
Tucumanao	图库马瑙村
Bdo. de Tucumanao	图库马瑙峡谷
Pto. Huañomil	瓦尼奥米尔村
Sa. de Ambato	安巴托山脉
Pipanaco	皮帕纳科村
Coples	科普莱斯镇
Sierra de Manchao	曼乔山脉
Joyango	霍扬戈镇
Las Casitas	拉斯卡西塔斯村
El Potrero	埃尔波特雷罗村
Saujil	绍希尔市
Rincón	林孔镇
Co. de la Estancia	埃斯坦西亚山
Mischango	米斯钱戈村
Apoyaco	阿波亚科镇
Mutquín	穆特金镇
R. Mutquín	穆特金河
Siján	锡汉镇
R. Rincón	林孔河
R. Barrealito	巴雷阿利托河
Pto. El Barrealito	埃尔巴雷阿利托村
Pto. Aguada Grande	大阿瓜达村
Pto. Salapisca	萨拉皮斯卡村
Ea. La Tuscha	拉图斯查庄园
Barreal Cogotal	科戈塔尔沼泽
Barreal Grande	格兰德沼泽
El Pajonal	埃尔帕霍纳尔镇
Est. Pomán	波曼车站
Retiro de Colana	雷蒂罗德科拉纳镇
Rosario de Colana	罗萨里奥-德科拉纳镇
Pomán	波曼镇
Pto. Espinillo	埃斯皮尼约村
Ea. Vieja	别哈庄园
Sierra de Ambato	安巴托山脉
Pto. Calera	卡莱拉村
A. Balgar	巴尔加尔溪
A. Puerta Grande	大普埃尔塔溪
Pto. Puerta Grande	大普埃尔塔村
Pto. Pan Llevar	潘耶瓦尔村
Barreal Dos Pozuelos	多斯-波苏埃洛斯沼泽
Sierra de Humaya	乌马亚山脉
El Bolsón	埃尔博尔松镇
Corralito	科拉托村
Q. de la Campana	坎帕纳溪
Pto. La Mesada	拉梅萨达村
Los Talas	洛斯塔拉斯镇
Los Varela	洛斯巴雷拉镇
Chuchucaruana	丘丘卡鲁阿纳镇
Los Castillos	洛斯卡斯蒂约斯镇
Los Galpones	洛斯加尔波内斯村
R. los Cajones	洛斯卡霍内斯河
Co. Los Dormidos	洛斯多尔米多斯山
Port. de Piedra Joyango	彼德拉霍扬戈山口
Huaycama	瓦伊卡马镇
La Puerta	拉普埃尔塔市
R. Ambato	安巴托河
El Rodeo	埃尔罗德奥镇
El Sauce	埃尔绍塞村
Cumbre del Potrerillo	波特雷里约山峰
Balcozna de Afuera	巴尔科斯纳-德阿富埃拉村
Villa de Balcozna	比亚-德巴尔科斯纳镇
La Higuera	拉伊格拉镇
Cumbrecita del Molle	莫耶山峰
R. Talanguada	塔兰瓜达河
La Viña	拉比尼亚镇
Dique de Sumampa	苏曼帕大坝
Monte Potrero	蒙特波特雷罗镇
Timoteo Gordillo	蒂莫特奥-戈尔迪约
Amadores	阿马多雷斯镇
Palo Labrado	帕洛拉夫拉多镇
La Bajada	拉巴哈达镇
Sierra de Graciana	格拉西亚纳山脉
Cumbre de los Llanos	亚诺斯山峰
R. de los Llanos	亚诺斯河
Huasa	瓦萨村
Pampa Sur	南部草原
Suncho	孙乔村
Pozo de la Esquina	波索-德拉埃斯基纳村
Ponzancón	蓬桑孔村
Talascha	塔拉斯查村
Cuchi Noque	库奇诺克村
Las Zanjitas	拉斯桑希塔斯村
La Rinconada	拉林科纳达村
Puerta Grande	大普埃尔塔
Los Troncos	洛斯特龙科斯
Pto. R. González	冈萨雷斯村
Los Altos	洛斯阿尔托斯镇
Bañado de Ovanta	巴尼亚多-德奥万塔市
Manantiales	马南蒂亚莱斯镇
Dique La Cañada	卡尼亚达大坝
R. Sam Martín	萨姆马丁河
Alijilán	阿利希兰镇
A. Lampazo	兰帕索溪
Pto. El Desmonte	埃尔德斯蒙特村
El Alto	埃尔阿尔托市
Guayamba	瓜扬巴镇
Tintigasta	延蒂加斯塔村
Lloga	约加村
Los Alamos	洛斯阿拉莫斯村
San Jerónimo	圣赫罗尼莫村
A. Molle Pampa	莫耶潘帕溪
Oyola	奥约拉村
Vilisman	比利斯曼镇
Los Corrales	洛斯科拉莱斯村
Pto. Los Mudaderos	洛斯穆达德罗斯村
R. del Malpaso	马尔帕索河
Infanzón	因凡松镇
Rosario de Abajo	罗萨里奥-德阿瓦霍村
Las Cistenas	拉斯西斯特纳斯
Tacana	塔卡纳村
Dique Las Pirquitas	拉斯皮尔基塔斯大坝
Las Pirquitas	拉斯皮尔基塔斯镇
Pomancillo	波曼西约镇
Collagasta	科亚加斯塔镇
La Carrera	拉卡雷拉镇
La Tercena	拉特尔塞纳镇
San José	圣何塞市
El Tala	埃尔塔拉村
Q. El Tala	埃尔塔拉溪
Las Varitas	拉斯巴里塔斯村
Aeródromo de Choya	乔亚机场
Dique El Yumeal	埃尔尤梅阿尔大坝
San Fernando del Valle de Catamarca	卡塔马尔卡山谷旁圣费尔南多市
MGTE. de la Cruz	克鲁斯山峰
Los Angeles	洛斯安赫莱斯镇
A. Pampichuela	潘皮丘埃拉溪
A. del Bosque	博斯克溪
A. Simbolar	辛博拉尔溪
Cbre. del Toro	托罗山峰
Coneta	科内塔镇
Miraflores	米拉夫洛雷斯镇
Cnia. Nueva Coneta	新科内塔移民镇
Colonia del Valle	巴耶移民镇
Pampichuela	潘皮丘埃拉村
Concepción	康塞普西翁镇
San Pablo	圣巴勃罗镇
Huillapima	维亚皮马市
Establ. Agrícola	埃斯塔夫莱西缅托-阿格里科拉村
Los Tres Quebrachos	洛斯-特雷斯-克夫拉丘斯村
Los Chañaritos	洛斯-查尼亚里托斯村
Pto. Sebila	塞维拉村
Cbre. o MGTE. de la Cordillera	科尔迪耶拉山（科尔迪耶拉山峰）
Mina Tres Hermanas	三姐妹矿
METE. Verde	贝尔德山峰
Trampasacha	特兰帕萨查村
Chumbicha	春比查镇
Ea. Las Latillas	拉斯拉蒂亚斯庄园
Ea. La Primacera	拉普里马塞拉庄园
Ea. Las Tuscas	拉斯图斯卡斯庄园
Ea. La Humita	拉乌米塔庄园
Pto. El Escondido	埃尔埃斯孔迪多村
Establ. Punta del Río	埃斯塔夫莱西缅托蓬塔-德尔里奥村
Pto. Santillán	桑蒂延村
Puesto de Rúa	鲁阿村
Los Divisaderos	洛斯-迪维萨德罗斯村
Sierra de Ancasti o de Alto	安卡斯蒂山脉（阿尔托山脉）
Pto. Pozo de las Animas	波索-德拉斯阿尼马斯村
Pto. San Gabriel	圣加夫列尔村
Pto. Don Diego	唐迭戈村
El Médano	埃尔梅达诺村
Pto. Culanao Viejo	旧库拉瑙村
Termas Santa Teresita	圣特雷西塔温泉
Co. de Mazán	马桑山
Minas Tinocán	蒂诺坎矿
Villa Mazán	比亚马桑镇
Est. Mazán	马桑车站
Valle de Mazán	马桑山谷
Mina Morenita	莫雷尼塔矿
Co. Santa Rosa	圣罗莎山
Pto. El Palmar	埃尔帕尔马尔村
Pto. El Negro	埃尔内格罗村
Ea. Punta del Begro	蓬塔德尔贝格罗庄园
Cebollar	塞沃亚尔村
Ea. San Luis	圣路易斯庄园
Pto. Punta de Río	蓬塔德里奥村
Pto. San Salvador	圣萨尔瓦多村
Desagües del Río Salado	萨拉多河滩
Pto. La Envidia	拉恩比迪亚村
Pto. San Vicente	圣维森特村
Represa Pozo Lindo	雷普雷萨-波索-林多村
Obraje Himerman	奥夫拉赫-伊梅尔曼村
La Lata	拉拉塔村
Las Catas	拉斯卡塔斯村
Represa La Marta	雷普雷萨-拉-马尔塔村
Represa Pozo del Togre	雷普雷萨波索-德尔托格雷村
Represa Pozo El Perdido	雷普雷萨-波索-埃尔-佩尔迪多村
Ea. El Chañar	埃尔查尼亚尔庄园
Ea. Merced de Capayán	梅尔塞德-德卡帕扬庄园
Adolfo Estéban Carranza	阿多尔福·埃斯特万·卡兰萨村
La Resistencia	拉雷西斯滕西亚村
Casa Armada	卡萨阿尔马达村
El Taco	埃尔塔科村
Cañada de Páez	卡尼亚达德派斯村
Concepción	康塞普西翁村
A. Totoral	托托拉尔溪
Anguincila	安金西拉镇
Ancasti	安卡斯蒂市
Dique de Ipizca	伊皮斯卡大坝
Ipizca	伊皮斯卡村
Comedero	科梅德罗村
Amana	阿马纳村
Río Chico	里奥奇科村
A. Los Molinos	洛斯莫利诺斯溪
Icaño	伊卡尼奥村
La Majada	拉马哈达村
Caballa	卡瓦亚村
Dique Motegasta	莫特加斯塔大坝
La Quinta	拉金塔村
Navagín	纳瓦欣村
El Aybal	埃尔艾瓦尔村
Los Molles	洛斯莫耶斯村
Ramblones	兰布洛内斯镇
R. del Bazán	巴桑河
R. La Dorada	拉多拉达河
R. de la Dorada	多拉达河
A. El Cercado	埃尔塞尔卡多溪
El Divisadero	埃尔迪维萨德罗镇
La Dorada	拉多拉达镇
Villa Dolores	比亚多洛雷斯镇
San Isidro	圣伊西德罗市
El Bañado	埃尔巴尼亚多镇
Sumalao	苏马劳镇
La Viñita	拉比尼塔村
Aeropuerto Internacional Cnl. Felipe Varela	菲利普巴雷拉上校国际机场
Las Tejas de Abajo	拉斯特哈斯-德阿瓦霍村
Los Arbolitos	洛斯-阿尔沃利托斯村
Esquinas de Arriba	埃斯基纳斯-德阿里瓦村
Ea. Nana Huasi	纳纳瓦西庄园
Pto. La Jornado	拉霍尔纳多村
El Moreno	埃尔莫雷诺村
Río de la Dorada	多拉达村
Pto. Taco Pampa	塔科潘帕村
Taco Ralo	塔科拉洛镇
Pozo de Abajo	波索德阿瓦霍村
Alta Gracia	阿尔塔格拉西亚村
Dos Pocitos	多斯波溪托斯村
Ampolla	安波亚村
Pto. Salauca	萨劳卡村
La Valle	拉巴耶
Las Cañas	拉斯卡尼亚斯镇
Dique de Collogasta	科约加斯塔大坝
Achaleo	阿查莱奥村
Tapso	塔普索村
La Tuna	拉图纳村
Loma Negra	洛马內格拉村
Chañar Laguna	查尼亚尔拉古纳村
Albigasta	阿尔维加斯塔村
Ea. La Albigasta	拉阿尔维加斯塔庄园
Ancastillo	安卡斯蒂约村
Amaglia	阿马格利亚村
Quirós	基罗斯镇
Las Esquinas	拉斯埃斯基纳斯村
Est. San Antonio de la Paz	圣安东尼奥-德拉帕斯车站
Planta de Bombeo N°6	6号抽水厂
Pto. La Media Legua	拉梅迪亚莱瓜村
Ea. Chañaritos	查尼亚里托斯庄园
Ea. La Sicha	拉西查庄园
Pto. La Hoja	拉奥哈村
María Elena	玛利亚埃莱娜村
Las Tejas	莱斯特哈斯村
Los Quebrachos	洛斯克夫拉乔斯村
Establ. San Pedro	埃斯塔夫莱西缅托-圣-佩德罗村
Aro Paco	阿罗帕科村
Pto. San Bernardo	圣贝尔纳尔多村
Planta Compresora Recreo	雷克雷奥压缩机厂
Salinas de San Bernardo	圣贝尔纳尔多盐湖
Recreo	雷克雷奥村
Palo Cruz	帕洛克鲁斯村
Ea. El Cadillo	埃尔卡迪约庄园
Ea. Esquina	埃斯基纳庄园
Villa Guasayán	比亚瓜萨扬村
Ea. El Simbolar	埃尔辛博拉尔庄园
El Puestito	埃尔普埃溪蒂托村
El Tableado	埃尔塔夫雷阿多村
Abra de Tipira	阿夫拉德蒂皮拉村
Guampacha	关帕查村
Los Cerrillos	洛斯塞里约斯矿
Conzo	孔索村
Pto. La Soledad	拉索莱达德村
Tres Cerros	特雷斯塞罗斯矿
Ea. El Mangrullo	埃尔曼格鲁约庄园
Pto. Las Animas	拉斯阿尼马斯村
Pto. Mandible	曼迪夫莱村
Ea. Los Tres Arboles	洛斯-特雷斯-阿尔沃莱斯庄园
Ea. El Salvador	埃尔萨尔瓦多庄园
Zorro Guarcuna	索罗瓜尔库纳村
Sierra de Guasaya	瓜萨亚山脉
Pto. Suncho Pujo	孙乔普霍村
San Justo	圣胡斯托村
Monte Pampa	蒙特潘帕村
Puerta de Chávez	普埃尔塔-德查韦斯村
Villa La Punta	比亚拉蓬塔镇
